occupation,women,white,black,asian,hispanic,total
Personal care and service occupations,6.3,5.7,7.3,9.7,7.2,
Sales and office occupations,28,28.7,27,20,29.5,
Sales and related occupations,10.7,10.9,9.8,8.8,12.1,
Office and administrative support occupations,17.3,17.8,17.2,11.3,17.4,
"Natural resources, construction, and maintenance occupations",1,1.1,0.6,0.5,2.3,
"Farming, fishing, and forestry occupations",0.4,0.4,0.1,0.2,1.2,
Construction and extraction occupations,0.4,0.4,0.2,0.1,0.8,
"Installation, maintenance, and repair occupations",0.3,0.2,0.3,0.2,0.2,
"Production, transportation, and material moving occupations",5.9,5.4,8.1,6.2,9.6,
Production occupations,3.4,3.1,4.1,4.5,5.9,
Transportation and material moving occupations,2.5,2.2,4.1,1.6,3,
